Altium Designer Pick and Place Locations
C:\Users\matej\Documents\Projects\HomeButtons\Hardware\PCB\mini_rev_1.0\Project Outputs for Free Documents\Pick Place\Pick Place for HB_mini_alt_PCB.csv

========================================================================================================================
File Design Information:

Date:       09/03/23
Time:       19:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J4","SolderJumperV2","TopLayer","AislerRule_SolderJumper_1mm","-27.0000","-10.6000","90",""
"TP25","test point 1.5mm","BottomLayer","TP1_FULL","-1.2700","24.1300","90","Test point ,1.5mm diameter, no hole"
"TP24","test point 1.5mm","BottomLayer","TP1_FULL","1.2700","24.1300","90","Test point ,1.5mm diameter, no hole"
"SW6","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","-23.4000","23.0000","135","XKB TS-1187A-B-A-B C318884"
"SW5","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","-23.3750","14.4000","90","XKB TS-1187A-B-A-B C318884"
"CN1","CP2102 USB-A-to-UART adapter connector","TopLayer","CP2102_USB-A-to-UART_adapter_connector","-26.4000","0.0500","0",""
"U3","SHTC3","TopLayer","FP-SHTC3-MFG","-27.0250","-16.2000","180","SENSOR HUMI/TEMP I2C 2% SMD"
"U2","ESP32-S2-MINI-2-N4","TopLayer","XCVR_ESP32-S2-MINI-1","-1.2500","19.5500","90","WiFi 802.11b/g/n Transceiver Module 2.412GHz ~ 2.484GHz Antenna Not Included Surface Mount"
"U1","BU33UV7NUX-E2","TopLayer","VSON010X3020","15.8000","19.3000","90","synchronous boost convertor with low
power consumption and provides a power supply for
products powered by either two-cell alkaline/NiCd/NiMH
or one-cell alkaline/Li-ion or Li-polymer battery.
Output currents can go as high as 500mA(VIN=1.8V)"
"TP23","test point 1.5mm","BottomLayer","TP1_FULL","6.3500","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP22","test point 1.5mm","BottomLayer","TP1_FULL","3.8100","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP21","test point 1.5mm","BottomLayer","TP1_FULL","-1.2700","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP20","test point 1.5mm","BottomLayer","TP1_FULL","-1.2700","19.0500","0","Test point ,1.5mm diameter, no hole"
"TP19","test point 1.5mm","BottomLayer","TP1_FULL","1.2700","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP18","test point 1.5mm","BottomLayer","TP1_FULL","1.2700","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP17","test point 1.5mm","BottomLayer","TP1_FULL","-3.8100","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP16","test point 1.5mm","BottomLayer","TP1_FULL","-3.8100","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP15","test point 1.5mm","BottomLayer","TP1_FULL","-6.3500","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP14","test point 1.5mm","BottomLayer","TP1_FULL","6.3500","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP13","test point 1.5mm","BottomLayer","TP1_FULL","3.8100","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP12","test point 1.5mm","TopLayer","TP1_FULL","-27.6500","-13.7750","90","Test point ,1.5mm diameter, no hole"
"TP11","test point 1.5mm","TopLayer","TP1_FULL","-25.9500","-13.8000","90","Test point ,1.5mm diameter, no hole"
"TP10","test point 1.5mm","TopLayer","TP1_FULL","2.0000","-10.4000","90","Test point ,1.5mm diameter, no hole"
"TP9","test point 1.5mm","TopLayer","TP1_FULL","-1.8000","-9.3000","90","Test point ,1.5mm diameter, no hole"
"TP8","test point 1.5mm","TopLayer","TP1_FULL","0.8000","-9.3000","90","Test point ,1.5mm diameter, no hole"
"TP7","test point 1.5mm","TopLayer","TP1_FULL","-3.1000","-10.3000","90","Test point ,1.5mm diameter, no hole"
"TP6","test point 1.5mm","TopLayer","TP1_FULL","3.2000","-9.3000","90","Test point ,1.5mm diameter, no hole"
